Yrs_Ed,Sthrn_Rgn,Sex,Yrs_Exprnc,Union,Wage,Age,Race,Occup,Sect,Marr
16,1,1,7,0,6.25,29,H,Prof,Other,1
17,0,0,7,1,9.37,30,W,Prof,Other,1
16,0,0,17,0,22.5,39,W,Prof,Manf,1
16,0,0,10,1,7.5,32,W,Prof,Other,1
17,1,0,2,0,7,25,W,Prof,Other,1
9,1,1,34,1,5.75,49,O,Prof,Other,1
15,0,1,11,0,7.67,32,W,Prof,Other,1
15,0,0,10,0,12.5,31,W,Prof,Other,0
12,1,0,12,0,16,30,W,Prof,Other,1
16,0,1,6,1,11.79,28,W,Prof,Other,0
18,0,0,5,0,11.36,29,W,Prof,Other,0
12,0,1,33,0,6.1,51,O,Prof,Other,1
17,0,1,25,1,23.25,48,O,Prof,Other,1
12,1,0,13,1,19.88,31,W,Prof,Other,1
16,0,0,33,0,15.38,55,W,Prof,Manf,1
